dex,gen,tier,is_legendary,is_mega,name,stat_total,hp,atk,def,sp_atk,sp_def,spd,type1,type2,weakness,height_m,weight_kg,p_male,capture_rate,experience,egg_steps,happiness,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,
122,1,pu,0,0,mr. mime,460,40,45,65,100,120,90,psychic,fairy,18.75,1.3,54.5,50,45,1000000,6400,70,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,
123,1,nu,0,0,scyther,500,70,110,80,55,80,105,bug,flying,22,1.5,56,50,45,1000000,6400,70,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,
124,1,nu,0,0,jynx,455,65,50,35,115,95,95,ice,psychic,23,1.4,40.6,0,45,1000000,6400,70,2,2,1,1,1,1,2,1,2,1,1,0.5,1,1,0.5,2,2,1,
125,1,unranked,0,0,electabuzz,490,65,83,57,95,85,105,electric,,17.5,1.1,30,75.4,45,1000000,6400,70,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,
126,1,unranked,0,0,magmar,495,65,95,57,100,85,93,fire,,18,1.3,44.5,75.4,45,1000000,6400,70,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,
127,1,ou,0,1,mega pinsir,600,65,155,120,65,90,105,bug,flying,22,1.7,59,50,45,1250000,6400,70,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,
127,1,nu,0,0,pinsir,500,65,125,100,55,70,85,bug,,19.5,1.5,55,50,45,1250000,6400,70,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,
128,1,nu,0,0,tauros,490,75,100,95,40,70,110,normal,,18,1.4,88.4,100,45,1250000,5120,70,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,
129,1,unranked,0,0,magikarp,200,20,10,55,15,20,80,water,,18,0.9,10,50,255,1250000,1280,70,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,
130,1,bl,0,1,mega gyarados,640,95,155,109,70,130,81,water,dark,19,6.5,305,50,45,1250000,1280,70,2,0.5,1,2,2,2,0.5,1,0.5,2,1,0.5,1,1,0,1,0.5,0.5,
130,1,uu,0,0,gyarados,540,95,125,79,60,100,81,water,flying,18.5,6.5,235,50,45,1250000,1280,70,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,
131,1,pu,0,0,lapras,535,130,85,80,85,95,60,water,ice,20.75,2.5,220,50,45,1250000,10240,70,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,
132,1,pu,0,0,ditto,288,48,48,48,48,48,48,normal,,18,0.3,4,,35,1000000,5120,70,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,
133,1,unranked,0,0,eevee,325,55,55,50,45,65,55,normal,,18,0.3,6.5,88.1,45,1000000,8960,70,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,
134,1,uu,0,0,vaporeon,525,130,65,60,110,95,65,water,,18,1,29,88.1,45,1000000,8960,70,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,
135,1,ru,0,0,jolteon,525,65,65,60,110,95,130,electric,,17.5,0.8,24.5,88.1,45,1000000,8960,70,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,
136,1,pu,0,0,flareon,525,65,130,60,95,110,65,fire,,18,0.9,25,88.1,45,1000000,8960,70,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,
137,1,unranked,0,0,porygon,395,65,60,70,85,75,40,normal,,18,0.8,36.5,,45,1000000,5120,70,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,
138,1,unranked,0,0,omanyte,355,35,40,100,90,55,35,rock,water,21.25,0.4,7.5,88.1,45,1000000,7680,70,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,
139,1,nu,0,0,omastar,495,70,60,125,115,70,55,rock,water,21.25,1,35,88.1,45,1000000,7680,70,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,
140,1,unranked,0,0,kabuto,355,30,80,90,55,45,55,rock,water,21.25,0.5,11.5,88.1,45,1000000,7680,70,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,
141,1,nu,0,0,kabutops,495,60,115,105,65,70,80,rock,water,21.25,1.3,40.5,88.1,45,1000000,7680,70,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,
142,1,uu,0,1,mega aerodactyl,615,80,135,85,70,95,150,rock,flying,19.5,2.1,79,,45,1250000,8960,70,0.5,1,1,2,1,1,0.5,0.5,1,1,0,2,0.5,0.5,1,2,2,2,
142,1,ru,0,0,aerodactyl,515,80,105,65,60,75,130,rock,flying,19.5,1.8,59,88.1,45,1250000,8960,70,0.5,1,1,2,1,1,0.5,0.5,1,1,0,2,0.5,0.5,1,2,2,2,
143,1,uu,0,0,snorlax,540,160,110,65,65,110,30,normal,,18,2.1,460,88.1,25,1250000,10240,70,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,
144,1,pu,1,0,articuno,580,90,85,100,95,125,85,ice,flying,22,1.7,55.4,,3,1250000,20480,35,0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1,
145,1,ou,1,0,zapdos,580,90,90,85,125,90,100,electric,flying,16.5,1.6,52.6,,3,1250000,20480,35,0.5,1,1,1,1,0.5,1,0.5,1,0.5,0,2,1,1,1,2,0.5,1,
146,1,bl2,1,0,moltres,580,90,100,90,125,85,90,fire,flying,18.5,2,60,,3,1250000,20480,35,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,
147,1,unranked,0,0,dratini,300,41,64,45,50,50,50,dragon,,19,1.8,3.3,50,45,1250000,10240,35,1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5,
148,1,pu,0,0,dragonair,420,61,84,65,70,70,70,dragon,,19,4,16.5,50,45,1250000,10240,35,1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5,
149,1,ou,0,0,dragonite,600,91,134,95,100,100,80,dragon,flying,20.25,2.2,210,50,45,1250000,10240,35,0.5,1,2,1,2,0.5,0.5,1,1,0.25,0,4,1,1,1,2,1,0.5,
150,1,uber,1,1,mega mewtwo x,780,106,190,100,154,100,130,psychic,fighting,20,2.3,127,,3,1250000,30720,0,1,1,1,1,2,0.5,1,2,2,1,1,1,1,1,1,0.5,1,1,
150,1,uber,1,1,mega mewtwo y,780,106,150,70,194,120,140,psychic,,20,1.5,33,,3,1250000,30720,0,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,
150,1,uber,1,0,mewtwo,680,106,110,90,154,90,130,psychic,,20,2,122,,3,1250000,30720,0,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,
151,1,ou,1,0,mew,600,100,100,100,100,100,100,psychic,,20,0.4,4,,45,1059860,30720,100,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,
152,2,unranked,0,0,chikorita,318,45,49,65,49,65,45,grass,,21,0.9,6.4,88.1,45,1059860,5120,70,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,
153,2,unranked,0,0,bayleef,405,60,62,80,63,80,60,grass,,21,1.2,15.8,88.1,45,1059860,5120,70,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,
154,2,pu,0,0,meganium,525,80,82,100,83,100,80,grass,,21,1.8,100.5,88.1,45,1059860,5120,70,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,
155,2,unranked,0,0,cyndaquil,309,39,52,43,60,50,65,fire,,18,0.5,7.9,88.1,45,1059860,5120,70,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,
156,2,unranked,0,0,quilava,405,58,64,58,80,65,80,fire,,18,0.9,19,88.1,45,1059860,5120,70,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,
157,2,ru,0,0,typhlosion,534,78,84,78,109,85,100,fire,,18,1.7,79.5,88.1,45,1059860,5120,70,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,
158,2,unranked,0,0,totodile,314,50,65,64,44,48,43,water,,18,0.6,9.5,88.1,45,1059860,5120,70,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,
159,2,unranked,0,0,croconaw,405,65,80,80,59,63,58,water,,18,1.1,25,88.1,45,1059860,5120,70,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,
160,2,uu,0,0,feraligatr,530,85,105,100,79,83,78,water,,18,2.3,88.8,88.1,45,1059860,5120,70,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,
161,2,unranked,0,0,sentret,215,35,46,34,35,45,20,normal,,18,0.8,6,50,255,1000000,3840,70,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,
162,2,pu,0,0,furret,415,85,76,64,45,55,90,normal,,18,1.8,32.5,50,90,1000000,3840,70,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,
163,2,unranked,0,0,hoothoot,262,60,30,30,36,56,50,normal,flying,18,0.7,21.2,50,255,1000000,3840,70,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,
164,2,pu,0,0,noctowl,452,100,50,50,86,96,70,normal,flying,18,1.6,40.8,50,90,1000000,3840,70,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,
165,2,unranked,0,0,ledyba,265,40,20,30,40,80,55,bug,flying,22,1,10.8,50,255,800000,3840,70,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,
166,2,pu,0,0,ledian,390,55,35,50,55,110,85,bug,flying,22,1.4,35.6,50,90,800000,3840,70,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,
167,2,unranked,0,0,spinarak,250,40,60,40,40,40,30,bug,poison,19,0.5,8.5,50,255,800000,3840,70,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,
168,2,pu,0,0,ariados,400,70,90,70,60,70,40,bug,poison,19,1.1,33.5,50,90,800000,3840,70,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,
169,2,uu,0,0,crobat,535,85,90,80,70,80,130,poison,flying,17.75,1.8,75,50,90,1000000,3840,70,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,
170,2,unranked,0,0,chinchou,330,75,38,38,56,56,67,water,electric,17.25,0.5,12,50,190,1250000,5120,70,1,1,1,1,1,1,0.5,0.5,1,2,2,0.5,1,1,1,1,0.25,0.5,
171,2,nu,0,0,lanturn,460,125,58,58,76,76,67,water,electric,17.25,1.2,22.5,50,75,1250000,5120,70,1,1,1,1,1,1,0.5,0.5,1,2,2,0.5,1,1,1,1,0.25,0.5,
172,2,unranked,0,0,pichu,205,20,40,15,35,35,60,electric,,17.5,0.3,2,50,190,1000000,2560,70,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,
173,2,unranked,0,0,cleffa,218,50,25,28,45,55,15,fairy,,17.5,0.3,3,24.6,150,800000,2560,140,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,
174,2,unranked,0,0,igglybuff,210,90,30,15,40,20,15,normal,fairy,17,0.3,1,24.6,170,800000,2560,70,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,
175,2,unranked,0,0,togepi,245,35,20,65,40,65,20,fairy,,17.5,0.3,1.5,88.1,190,800000,2560,70,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,
176,2,ru,0,0,togetic,405,55,40,85,80,105,40,fairy,flying,18.5,0.6,3.2,88.1,75,800000,2560,70,0.25,0.5,0,2,1,0.25,1,1,1,0.5,0,2,1,2,1,2,2,1,
177,2,unranked,0,0,natu,320,40,50,45,70,45,70,psychic,flying,20.25,0.2,2,50,190,1000000,5120,70,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,
178,2,nu,0,0,xatu,470,65,75,70,95,70,95,psychic,flying,20.25,1.5,15,50,75,1000000,5120,70,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,
179,2,unranked,0,0,mareep,280,55,40,40,65,45,35,electric,,17.5,0.6,7.8,50,235,1059860,5120,70,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,
180,2,unranked,0,0,flaaffy,365,70,55,55,80,60,45,electric,,17.5,0.8,13.3,50,120,1059860,5120,70,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,
181,2,uu,0,1,mega ampharos,610,90,95,105,165,110,45,electric,dragon,18.75,1.4,61.5,50,45,1059860,5120,70,1,1,2,0.25,2,1,0.5,0.5,1,0.5,2,2,1,1,1,1,0.5,0.5,
181,2,pu,0,0,ampharos,510,90,75,85,115,90,55,electric,,17.5,1.4,61.5,50,45,1059860,5120,70,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,
182,2,pu,0,0,bellossom,490,75,80,95,90,100,50,grass,,21,0.4,5.8,50,45,1059860,5120,70,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,
183,2,unranked,0,0,marill,250,70,20,50,20,50,40,water,fairy,17,0.4,8.5,50,190,800000,2560,70,0.5,0.5,0,2,1,0.5,0.5,1,1,2,1,0.5,1,2,1,1,1,0.5,
184,2,ou,0,0,azumarill,420,100,50,80,60,80,50,water,fairy,17,0.8,28.5,50,75,800000,2560,70,0.5,0.5,0,2,1,0.5,0.5,1,1,2,1,0.5,1,2,1,1,1,0.5,
185,2,pu,0,0,sudowoodo,410,70,100,115,30,65,30,rock,,21,1.2,38,50,65,1000000,5120,70,1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2,
186,2,pu,0,0,politoed,500,90,75,75,90,100,70,water,,18,1.1,33.9,50,45,1059860,5120,70,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,
187,2,unranked,0,0,hoppip,250,35,35,40,35,55,50,grass,flying,22.25,0.4,0.5,50,255,1059860,5120,70,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,
188,2,unranked,0,0,skiploom,340,55,45,50,45,65,80,grass,flying,22.25,0.6,1,50,120,1059860,5120,70,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,
189,2,pu,0,0,jumpluff,460,75,55,70,55,95,110,grass,flying,22.25,0.8,3,50,45,1059860,5120,70,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,
190,2,unranked,0,0,aipom,360,55,70,55,40,55,85,normal,,18,0.8,11.5,50,45,800000,5120,70,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,
191,2,unranked,0,0,sunkern,180,30,30,30,30,30,30,grass,,21,0.3,1.8,50,235,1059860,5120,70,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,
192,2,pu,0,0,sunflora,425,75,75,55,105,85,30,grass,,21,0.8,8.5,50,120,1059860,5120,70,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,
193,2,unranked,0,0,yanma,390,65,65,45,75,45,95,bug,flying,22,1.2,38,50,75,1000000,5120,70,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,
194,2,unranked,0,0,wooper,210,55,45,45,25,25,15,water,ground,18,0.4,8.5,50,255,1000000,5120,70,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,
195,2,pu,0,0,quagsire,430,95,85,85,65,65,35,water,ground,18,1.4,75,50,90,1000000,5120,70,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,
196,2,uu,0,0,espeon,525,65,65,60,130,95,110,psychic,,20,0.9,26.5,88.1,45,1000000,8960,70,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,
197,2,uu,0,0,umbreon,525,95,65,110,60,130,65,dark,,19,1,27,88.1,45,1000000,8960,35,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,
198,2,pu,0,0,murkrow,405,60,85,42,85,42,91,dark,flying,18.5,0.5,2.1,50,30,1059860,5120,35,1,0.5,1,2,2,1,1,1,0.5,0.5,0,2,1,1,0,2,1,1,
199,2,ru,0,0,slowking,490,95,75,80,100,110,30,water,psychic,20,2,79.5,50,70,1000000,5120,70,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,
200,2,pu,0,0,misdreavus,435,60,60,60,85,85,85,ghost,,17,0.7,1,50,45,800000,6400,35,0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1,
201,2,pu,0,0,unown,336,48,72,48,72,48,48,psychic,,20,0.5,5,,225,1000000,10240,70,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,
202,2,pu,0,0,wobbuffet,405,190,33,58,33,58,33,psychic,,20,1.3,28.5,50,45,1000000,5120,70,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,
203,2,pu,0,0,girafarig,455,70,80,65,90,65,85,normal,psychic,18.5,1.5,41.5,50,60,1000000,5120,70,2,2,1,1,1,1,1,1,0,1,1,1,1,1,0.5,1,1,1,
204,2,unranked,0,0,pineco,290,50,65,90,35,35,15,bug,,19.5,0.6,7.2,50,190,1000000,5120,70,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,
205,2,uu,0,0,forretress,465,75,90,140,60,60,40,bug,steel,15.75,1.2,125.8,50,75,1000000,5120,70,0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1,
206,2,pu,0,0,dunsparce,415,100,70,70,65,65,45,normal,,18,1.5,14,50,190,1000000,5120,70,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,
207,2,uu,0,0,gligar,430,65,75,105,35,65,85,ground,flying,18.5,1.1,64.8,50,60,1059860,5120,70,0.5,1,1,0,1,0.5,1,1,1,1,0,4,1,0.5,1,1,1,2,
208,2,bl2,0,1,mega steelix,610,75,125,230,55,95,30,steel,ground,15.75,10.5,740,50,25,1000000,6400,70,0.5,1,0.5,0,0.5,2,2,0.5,1,1,2,1,0.5,0,0.5,0.25,0.5,2,
208,2,nu,0,0,steelix,510,75,85,200,55,65,30,steel,ground,15.75,9.2,400,50,25,1000000,6400,70,0.5,1,0.5,0,0.5,2,2,0.5,1,1,2,1,0.5,0,0.5,0.25,0.5,2,
209,2,unranked,0,0,snubbull,300,60,80,50,40,40,30,fairy,,17.5,0.6,7.8,24.6,190,800000,5120,70,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,
210,2,ru,0,0,granbull,450,90,120,75,60,60,45,fairy,,17.5,1.4,48.7,24.6,75,800000,5120,70,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,
211,2,ru,0,0,qwilfish,440,65,95,85,55,55,85,water,poison,17,0.5,3.9,50,45,1000000,5120,70,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,
212,2,ou,0,1,mega scizor,600,70,150,140,65,100,75,bug,steel,15.75,2,125,50,25,1000000,6400,70,0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1,
212,2,ou,0,0,scizor,500,70,130,100,55,80,65,bug,steel,15.75,1.8,118,50,25,1000000,6400,70,0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1,
213,2,bl2,0,0,shuckle,505,20,10,230,10,230,5,bug,rock,20,0.6,20.5,50,190,1059860,5120,70,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,2,2,2,
214,2,ou,0,1,mega heracross,600,80,185,115,40,105,75,bug,fighting,21.5,1.7,62.5,50,45,1250000,6400,70,0.5,0.5,1,1,2,0.5,2,4,1,0.5,0.5,1,1,1,2,1,1,1,
214,2,uu,0,0,heracross,500,80,125,75,40,95,85,bug,fighting,21.5,1.5,54,50,45,1250000,6400,70,0.5,0.5,1,1,2,0.5,2,4,1,0.5,0.5,1,1,1,2,1,1,1,
215,2,ru,0,0,sneasel,430,55,95,55,35,75,115,dark,ice,23.5,0.9,28,50,60,1059860,5120,35,2,0.5,1,1,2,4,2,1,0.5,1,1,0.5,1,1,0,2,2,1,
216,2,unranked,0,0,teddiursa,330,60,80,50,50,50,40,normal,,18,0.6,8.8,50,120,1000000,5120,70,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,
217,2,pu,0,0,ursaring,500,90,130,75,75,75,55,normal,,18,1.8,125.8,50,60,1000000,5120,70,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,
218,2,unranked,0,0,slugma,250,40,40,40,70,40,20,fire,,18,0.7,35,50,190,1000000,5120,70,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,
219,2,pu,0,0,magcargo,430,60,50,120,90,80,30,fire,rock,22.25,0.8,55,50,75,1000000,5120,70,0.5,1,1,1,0.5,2,0.25,0.5,1,1,4,0.5,0.5,0.5,1,2,1,4,
220,2,unranked,0,0,swinub,250,50,50,40,30,30,50,ice,ground,21.5,0.4,6.5,50,225,1250000,5120,70,1,1,1,0,1,2,2,1,1,2,1,1,1,0.5,1,1,2,2,
221,2,nu,0,0,piloswine,450,100,100,80,60,60,50,ice,ground,21.5,1.1,55.8,50,75,1250000,5120,70,1,1,1,0,1,2,2,1,1,2,1,1,1,0.5,1,1,2,2,
222,2,pu,0,0,corsola,410,65,55,95,65,95,35,water,rock,21.25,0.6,5,24.6,60,800000,5120,70,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,
223,2,unranked,0,0,remoraid,300,35,65,35,65,35,65,water,,18,0.6,12,50,190,1000000,5120,70,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,
224,2,pu,0,0,octillery,480,75,105,75,105,75,45,water,,18,0.9,28.5,50,75,1000000,5120,70,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,
225,2,pu,0,0,delibird,330,45,55,45,65,45,75,ice,flying,22,0.9,16,50,45,800000,5120,70,0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1,
226,2,nu,0,0,mantine,485,85,40,70,80,140,70,water,flying,18.5,2.1,220,50,25,1250000,6400,70,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,
227,2,ou,0,0,skarmory,465,65,80,140,40,70,70,steel,flying,13.5,1.7,50.5,50,25,1250000,6400,70,0.25,1,0.5,2,0.5,1,2,0.5,1,0.25,0,1,0.5,0,0.5,1,0.5,1,
228,2,unranked,0,0,houndour,330,45,60,30,80,50,65,dark,fire,18,0.6,10.8,50,120,1250000,5120,35,1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2,
229,2,bl2,0,1,mega houndoom,600,75,90,90,140,90,115,dark,fire,18,1.9,49.5,50,45,1250000,5120,35,1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2,
229,2,ru,0,0,houndoom,500,75,90,50,110,80,95,dark,fire,18,1.4,35,50,45,1250000,5120,35,1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2,
230,2,bl2,0,0,kingdra,540,75,95,95,95,95,85,water,dragon,18,1.8,152,50,45,1000000,5120,70,1,1,2,1,2,1,0.25,1,1,1,1,1,1,1,1,1,0.5,0.25,
231,2,unranked,0,0,phanpy,330,90,60,60,40,40,40,ground,,19,0.5,33.5,50,120,1000000,5120,70,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,
232,2,uu,0,0,donphan,500,90,120,120,60,60,50,ground,,19,1.1,120,50,60,1000000,5120,70,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,
233,2,uu,0,0,porygon2,515,85,80,90,105,95,60,normal,,18,0.6,32.5,,45,1000000,5120,70,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,
234,2,pu,0,0,stantler,465,73,95,62,85,65,85,normal,,18,1.4,71.2,50,45,1250000,5120,70,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,
235,2,pu,0,0,smeargle,250,55,20,35,20,45,75,normal,,18,1.2,58,50,45,800000,5120,70,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,
236,2,unranked,0,0,tyrogue,210,35,35,35,35,35,35,fighting,,19.5,0.7,21,100,75,1000000,6400,70,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,
237,2,ru,0,0,hitmontop,455,50,95,95,35,110,70,fighting,,19.5,1.4,48,100,45,1000000,6400,70,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,
238,2,unranked,0,0,smoochum,305,45,30,15,85,65,65,ice,psychic,23,0.4,6,0,45,1000000,6400,70,2,2,1,1,1,1,2,1,2,1,1,0.5,1,1,0.5,2,2,1,
239,2,unranked,0,0,elekid,360,45,63,37,65,55,95,electric,,17.5,0.6,23.5,75.4,45,1000000,6400,70,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,
240,2,unranked,0,0,magby,365,45,75,37,70,55,83,fire,,18,0.7,21.4,75.4,45,1000000,6400,70,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,
241,2,nu,0,0,miltank,490,95,80,105,40,70,100,normal,,18,1.2,75.5,0,45,1250000,5120,70,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,
242,2,uu,0,0,blissey,540,255,10,10,75,135,55,normal,,18,1.5,46.8,0,30,800000,10240,140,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,
243,2,ou,1,0,raikou,580,90,85,75,115,100,115,electric,,17.5,1.9,178,,3,1250000,20480,35,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,
244,2,uu,1,0,entei,580,115,115,85,90,75,100,fire,,18,2.1,198,,3,1250000,20480,35,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,
245,2,uu,1,0,suicune,580,100,75,115,90,115,85,water,,18,2,187,,3,1250000,20480,35,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,
